# ----------------------------------------
# one2team.com - primary reporting
# New Custom Report
# 20161101-20170131
# ----------------------------------------

Date,Source,Medium,Sessions,Pageviews,Time on Page
20161104,(direct),(none),208,261,00:58:41
20170109,google,cpc,137,216,01:14:38
20161108,google,organic,134,284,04:02:35
20161114,google,organic,129,271,03:51:32
20161129,google,organic,129,328,04:52:56
20161116,google,organic,128,301,05:59:07
20161207,google,cpc,125,144,00:32:31
20161104,google,organic,124,215,02:16:02
20170124,google,cpc,123,140,00:32:50
20161102,google,organic,120,282,04:38:42
20170117,google,organic,119,199,01:45:51
20161130,google,organic,118,217,02:14:34
20170124,google,organic,115,189,03:21:03
20161107,(direct),(none),114,121,00:01:59
20170131,google,organic,114,181,01:47:46
20161117,google,organic,112,234,02:21:38
20161213,google,cpc,112,142,00:22:31
20170125,google,cpc,110,144,01:37:05
20161103,google,organic,109,351,05:12:58
20161109,google,organic,109,213,02:40:58
20161115,google,organic,108,240,03:27:08
20161122,google,cpc,108,151,00:59:53
20161122,google,organic,108,221,03:38:02
20170130,google,organic,108,190,02:19:37
20161123,google,organic,107,208,03:12:09
20161201,google,organic,107,242,03:56:15
20161214,google,cpc,107,130,00:33:31
20170110,google,cpc,107,125,00:20:55
20170123,google,organic,106,215,05:47:38
20161202,(direct),(none),105,190,04:36:04
20161212,google,cpc,105,131,00:14:13
20170110,google,organic,105,221,03:12:00
20161114,google,cpc,104,123,00:25:56
20170105,google,cpc,104,133,00:32:47
20170118,google,cpc,104,133,00:37:35
20161205,google,cpc,102,126,00:34:21
20161205,google,organic,102,227,02:30:46
20161206,google,organic,102,189,02:46:38
20170103,google,cpc,101,131,00:31:49
20170104,google,cpc,101,124,00:51:18
20170119,google,organic,101,307,03:56:59
20170125,google,organic,101,225,03:34:59
20161206,google,cpc,100,125,00:47:46
20161208,google,cpc,100,127,00:36:51
20161121,google,organic,99,187,02:19:36
20161214,google,organic,99,190,01:50:47
20170113,google,organic,99,208,02:48:38
20161117,google,cpc,98,117,00:45:13
20170117,google,cpc,98,124,02:00:18
20161115,google,cpc,97,111,00:17:30
20170112,google,cpc,97,120,01:12:38
20161107,google,organic,96,161,01:49:18
20170119,google,cpc,96,151,01:20:55
20161202,google,cpc,95,118,01:07:34
20170111,google,cpc,95,108,00:20:07
20161124,google,organic,94,204,04:19:02
20161128,google,organic,94,194,04:02:28
20170123,google,cpc,94,126,01:00:02
20161129,google,cpc,93,117,00:59:33
20170118,google,organic,93,209,02:56:40
20170113,google,cpc,92,108,00:43:40
20170116,google,organic,92,194,01:37:28
20161130,google,cpc,91,116,00:21:47
20161221,google,cpc,90,123,00:53:38
20170116,google,cpc,90,112,00:40:36
20170123,(direct),(none),90,191,03:12:19
20161207,google,organic,89,143,02:10:35
20170106,google,cpc,89,100,00:13:32
20170120,google,cpc,89,193,02:29:51
20170126,google,organic,89,158,02:09:33
20161103,google,cpc,88,115,00:23:22
20161110,google,organic,88,200,04:00:22
20161219,google,cpc,87,116,01:09:50
20161123,google,cpc,86,115,00:32:58
20161213,google,organic,86,196,03:11:20
20170109,google,organic,86,212,02:49:30
20170112,google,organic,86,189,02:34:21
20161118,google,cpc,85,110,00:40:28
20161128,google,cpc,85,111,00:46:20
20170127,google,cpc,85,101,00:18:04
20170126,google,cpc,84,111,00:50:15
20161202,google,organic,82,146,01:12:45
20170111,google,organic,82,157,02:29:46
20161116,google,cpc,81,96,00:19:26
20161209,google,cpc,81,100,00:16:00
20161201,google,cpc,80,99,00:19:02
20161107,google,cpc,79,102,00:47:28
20161212,google,organic,79,162,02:11:03
20161219,google,organic,79,262,03:43:16
20161220,google,organic,79,168,02:36:12
20170104,google,organic,79,133,00:58:02
20161208,google,organic,78,135,01:09:06
20161215,google,organic,78,112,01:21:00
20161209,google,organic,77,149,02:38:30
20161118,google,organic,76,187,04:11:16
20170103,google,organic,76,132,02:15:34
20161108,google,cpc,75,88,00:15:11
20170120,google,organic,75,173,02:17:39
20161216,google,cpc,74,79,00:06:31
20161221,google,organic,73,212,03:41:35
20170127,google,organic,73,147,01:48:07
20161124,google,cpc,72,84,00:12:35
20161104,google,cpc,71,99,00:29:24
20161110,google,cpc,69,88,00:30:54
20161121,google,cpc,69,114,00:40:48
20161222,google,cpc,69,82,00:26:06
20170105,google,organic,69,160,01:48:33
20161109,google,cpc,68,75,00:05:46
20161125,google,organic,68,113,01:25:21
20161111,google,cpc,67,92,00:54:38
20161216,google,organic,65,136,01:00:14
20161101,google,organic,63,181,04:08:45
20161129,(direct),(none),63,89,01:12:33
20161215,google,cpc,63,78,00:19:41
20170131,(direct),(none),63,108,01:49:38
20161220,google,cpc,62,71,00:09:08
20161101,google,cpc,61,72,00:15:55
20161204,google,cpc,61,77,00:14:24
20161102,google,cpc,60,70,00:13:11
20170106,google,organic,60,127,01:28:05
20170116,(direct),(none),60,112,01:14:09
20161222,google,organic,59,161,02:42:49
20170130,google,cpc,58,90,00:51:19
20170102,google,cpc,56,67,00:07:48
20170127,(direct),(none),56,92,00:48:31
20161206,(direct),(none),55,187,02:56:33
20161222,(direct),(none),55,77,00:39:31
20161228,google,cpc,55,63,00:12:49
20170126,(direct),(none),54,93,00:46:45
20170119,(direct),(none),51,68,01:07:07
20161113,google,organic,50,112,02:10:52
20161125,google,cpc,50,66,00:30:15
20161220,(direct),(none),50,76,00:53:59
20170122,google,cpc,50,59,00:07:36
20161201,(direct),(none),49,189,03:07:59
20161211,google,cpc,49,64,00:20:37
20161230,google,cpc,49,65,00:41:02
20161111,google,organic,48,97,01:35:37
20170121,google,cpc,48,51,00:02:58
20161223,google,cpc,47,54,00:05:31
20170110,(direct),(none),47,77,00:59:53
20170117,(direct),(none),47,213,03:41:06
20170129,google,cpc,47,64,00:13:07
20161227,google,cpc,46,69,00:46:08
20170115,google,cpc,46,58,00:28:15
20161102,(direct),(none),45,114,02:20:04
20161113,google,cpc,43,55,00:08:07
20161120,google,organic,43,66,01:10:46
20161123,(direct),(none),43,47,00:02:32
20161203,google,cpc,43,48,00:05:44
20170108,google,cpc,43,52,00:05:34
20161215,(direct),(none),42,133,01:10:31
20170125,(direct),(none),42,78,01:14:38
20170128,google,cpc,42,53,00:26:35
20161203,(direct),(none),41,54,00:19:41
20161214,(direct),(none),41,66,00:41:06
20170130,(direct),(none),41,55,00:48:24
20170102,google,organic,40,74,01:04:22
20170114,google,cpc,40,48,00:21:31
20170118,(direct),(none),40,73,01:05:37
20170124,(direct),(none),40,53,00:25:02
20161109,(direct),(none),39,65,01:06:34
20161119,google,cpc,39,57,00:20:07
20161122,(direct),(none),39,88,01:31:44
20161211,google,organic,39,63,00:41:08
20161229,google,cpc,39,57,00:17:55
20170107,google,cpc,39,49,00:06:25
20161130,(direct),(none),38,94,01:07:57
20161213,(direct),(none),38,63,00:43:30
20161228,google,organic,38,74,00:48:55
20170120,(direct),(none),38,90,02:01:46
20161221,(direct),(none),37,60,01:29:45
20161105,google,organic,36,63,00:54:03
20161127,google,organic,36,65,01:26:10
20161226,google,cpc,36,37,00:01:40
20161110,(direct),(none),35,71,00:39:50
20161119,google,organic,35,83,02:12:29
20161126,google,cpc,35,43,00:05:30
20161219,(direct),(none),35,72,00:50:43
20161227,google,organic,35,71,00:39:15
20161120,google,cpc,34,39,00:22:10
20161128,(direct),(none),34,46,00:12:58
20161209,(direct),(none),34,57,00:31:37
20161230,google,organic,34,78,01:15:13
20161103,(direct),(none),33,79,01:31:50
20161203,google,organic,33,119,01:26:59
20161204,google,organic,33,63,00:37:06
20161210,google,organic,33,59,00:40:30
20161212,(direct),(none),33,54,00:27:50
20161223,google,organic,33,83,00:57:30
20161224,google,cpc,33,38,00:02:52
20161229,google,organic,33,59,00:46:31
20170109,(direct),(none),33,47,00:06:28
20170113,(direct),(none),33,77,01:15:28
